id_emp,Name,Apellido,birth_date,Gender,area,salary,star_date,finish_date,promotion_date,type
00-1451930,Woodie,Hayhow,1/18/1995,mujer,Engineering," $170,827 ",08/04/2001,,,1
00-1485605,L;urette,Stango,4/13/1991,hombre,Training," $124,715 ",11/29/2016,,,0
00-1499371,Claude,Ales0,4/29/1984,mujer,Sales," $126,534 ",3/31/2014,,,1
00-1557949,Virginia,Teligin,12/25/1982,mujer,Engineering," $119,752 ",6/27/2014,,,0
00-1695354,Starr,Yitzhok,04/11/1998,mujer,Training," $99,040 ",7/14/2011,,,1
00-1722938,Perla,Durrand,03/11/1976,hombre,Sales," $178,809 ",01/01/2014,"2023-01-10 00:20:48 UTC",,1
00-1728402,Mahala,McTrustie,06/07/1974,mujer,"Business Development"," $118,730 ",4/15/2015,,,0
00-1735797,Hobart,Bertrand,3/22/1997,mujer,"Business Development"," $129,612 ",9/17/2019,,,0
00-1792130,Nobe,Leathe,7/23/1993,hombre,Engineering," $174,045 ",1/23/2011,"2024-12-07 02:16:22 UTC",,1
00-1830166,Peta,Gosson,06/02/1975,mujer,"Human Resources"," $146,252 ",06/02/2007,,,1
00-1861400,Ninnette,Batter,03/11/1993,hombre,"Business Development"," $152,349 ",02/04/2008,,,1
00-1877605,Bibbie,Matteoli,6/18/1997,hombre,Support," $74,632 ",05/05/2008,"2024-03-02 16:38:02 UTC",,1
00-1892609,Averell,Paintain,10/25/1971,mujer,"Research and Development"," $118,943 ",01/02/2013,,,1
00-1954462,Marcel,Fowkes,6/18/1993,hombre,Accounting," $123,127 ",7/20/2008,,,1
00-1957612,Artus,Cawcutt,2/28/1970,mujer,Services," $110,278 ",07/08/2005,"2012-08-01 16:03:54 UTC",,1
00-2010536,Emili,Cowl,05/10/1978,hombre,Engineering," $160,528 ",7/30/2009,,,0
00-2209303,Edeline,Painten,3/16/1978,hombre,Services," $172,415 ",1/17/2011,,,1
00-2228674,Meggi,"Mc Ilory",09/09/1987,hombre,Training," $152,355 ",11/30/2005,,,1
00-2229651,Giordano,Muckian,8/21/1984,mujer,"Business Development"," $126,833 ",04/11/2004,,,0
00-2260658,Nickolas,Coopey,5/21/1978,hombre,Support," $135,192 ",01/02/2001,,,0
00-2301130,Corrina,Blooman,10/19/1971,mujer,Services," $155,224 ",7/28/2013,,,0
00-2334565,Odey,Brough,12/19/1992,hombre,Engineering," $143,824 ",8/27/2011,,,0
00-2367299,Lenka,Astridge,12/01/2000,hombre,"Human Resources"," $134,657 ",8/13/2019,,,0
00-2509034,Gunar,Dinkin,11/27/1988,hombre,Training," $109,088 ",12/19/2017,,,0
00-2607971,Gale,Dreossi,6/16/1972,hombre,Auditing," $74,124 ",02/02/2006,"2018-07-01 03:10:13 UTC",,1
00-2623755,Chrysa,Brownell,4/25/1983,hombre,Engineering," $150,586 ",2/22/2018,"2027-02-01 04:34:24 UTC",,1
00-2637590,Britte,Royds,03/06/1980,hombre,Training," $84,336 ",05/05/2016,,,0
00-2682864,Bil,Wanden,6/28/1982,hombre,Engineering," $101,508 ",2/24/2009,,,1
00-2704725,Ronda,Dictus,11/28/1975,mujer,Training," $139,256 ",12/07/2003,,,1
00-2709445,Loree,Neno,1/16/1977,mujer,"Research and Development"," $87,404 ",4/26/2017,,,0
00-2773154,Teena,Tolan,09/11/1992,hombre,"Human Resources"," $88,845 ",02/11/2014,,,1
00-2861998,Karine,Seage,09/07/1966,hombre,Training," $112,030 ",08/12/2017,,,1
00-2874422,Diandra,Bourget,04/06/1971,hombre,"Human Resources"," $133,999 ",7/26/2003,"2015-01-14 06:02:41 UTC",,1
00-2889513,Dodi,Caves,07/05/1999,hombre,"Business Development"," $85,942 ",11/16/2004,,,0
00-2950779,Hyman,Dancey,4/23/1981,mujer,Training," $179,502 ",06/10/2015,,,0
00-3008455,Rourke,Dawkins,9/26/1969,hombre,"Business Development"," $81,067 ",10/28/2007,,,0
00-3020430,Northrup,Arendt,12/01/2001,hombre,Services," $181,268 ",09/06/2011,,,0
00-3030708,Guntar,Arro,4/22/1997,mujer,"Business Development"," $147,374 ",11/16/2020,,,1
00-3052411,Midge,Orpyne,01/04/1984,mujer,Engineering," $121,893 ",7/21/2010,,,0
00-3105004,Isador,Crady,06/08/1968,mujer,Training," $171,873 ",11/19/2020,,,1
00-3135807,Nichol,Dionisii,8/28/1994,mujer,"Business Development"," $153,741 ",2/19/2017,,,1
00-3138749,Dorey,Diperaus,12/20/1978,hombre,Sales," $80,905 ",04/06/2006,,,1
00-3208324,Lanie,Plewes,7/25/1992,mujer,Support," $103,460 ",03/01/2008,,,0
00-3214670,Mahmoud,"De L'Isle",09/04/1990,hombre,Accounting," $97,531 ",03/06/2010,,,0
00-3217869,Carlynne,Gouldthorpe,04/11/1968,mujer,Accounting," $93,766 ",8/17/2009,,,1
00-3334414,Modesta,Lanktree,2/13/1997,mujer,Engineering," $118,405 ",4/30/2002,,,0
00-3341718,Tildie,Ranvoise,8/13/1982,hombre,Engineering," $92,899 ",8/21/2007,,,1
00-3389894,Tallulah,Dowty,1/26/1983,hombre,Engineering," $75,079 ",02/02/2006,,,1
00-3402094,Addie,Coldman,07/10/2002,mujer,Engineering," $184,325 ",9/25/2011,,,0
00-3457300,Eleanore,Pudner,12/13/1996,mujer,Engineering," $114,513 ",2/28/2002,,,1
00-3492248,Carlene,Goldwater,1/19/1975,mujer,"Business Development"," $66,760 ",2/25/2019,,,0
00-3597335,Amara,Jacobs,6/14/1982,hombre,Sales," $86,754 ",02/07/2006,,,1
00-3679205,Heall,Conville,05/08/1994,hombre,Training," $93,624 ",11/12/2010,,,1
00-3739286,Jake,Dawdry,2/26/1993,hombre,Engineering," $147,458 ",9/30/2019,,,0
00-3744044,Maribelle,Bisson,6/22/1998,mujer,Training," $108,538 ",1/21/2016,,,0
00-3758963,Calypso,Connold,9/27/1984,mujer,"Business Development"," $131,425 ",11/22/2001,,,0
00-3855769,Tanitansy,Fancett,5/30/1995,mujer,"Human Resources"," $90,354 ",10/31/2005,,,0
00-3860994,Allyce,Giacobazzi,04/04/1969,hombre,Marketing," $100,936 ",12/27/2019,"2022-12-26 02:31:43 UTC",,1
00-3961040,Filberte,Morant,10/27/1977,hombre,Engineering," $180,378 ",03/06/2002,,,0
00-3964552,Sergei,Glidden,2/15/1996,hombre,"Product Management"," $101,912 ",11/04/2016,,,0
00-3987484,Chelsy,Clacey,09/12/1991,mujer,Training," $104,211 ",1/30/2006,"2021-07-23 05:08:46 UTC",,0
00-4123013,Romy,Sandever,1/20/1969,hombre,"Research and Development"," $159,712 ",08/12/2011,,,1
00-4202411,Rorie,Rice,3/13/1982,hombre,Engineering," $114,677 ",7/16/2014,,,0
00-4254147,Karel,Gullen,12/18/1993,hombre,Sales," $95,319 ",03/08/2013,,,0
00-4259069,Marcela,Bostock,01/09/1979,hombre,Engineering," $76,586 ",01/01/2005,,,0
00-4464648,Agretha,Brunning,2/15/1978,mujer,Engineering," $105,639 ",4/28/2017,,,1
00-4481784,Willdon,Pirozzi,3/28/1997,mujer,Support," $125,642 ",03/12/2016,,,0
00-4521988,Paddie,Mallebone,11/22/1967,hombre,"Human Resources"," $165,021 ",07/04/2016,,,1
00-4585118,Karina,Slocum,9/19/1993,mujer,Services," $91,542 ",12/23/2018,,,0
00-4609499,Gun,Heathorn,10/30/1978,hombre,Services," $119,007 ",12/25/2015,,,0
00-4634919,Dario,Renshall,01/07/1971,mujer,Accounting," $176,947 ",04/10/2011,,,0
00-4767568,Bartholemy,Schutter,9/27/1975,hombre,Services," $109,279 ",07/06/2009,,,1
00-4872960,Gamaliel,McRoberts,11/10/1978,hombre,Accounting," $169,540 ",12/30/2019,,,1
00-4890880,Demetre,Chaulk,3/20/1977,hombre,Sales," $178,594 ",03/05/2014,,,1
00-4971801,Temple,Banasevich,5/14/1991,mujer,Engineering," $131,359 ",10/11/2020,,,0
00-5033764,Gabie,Olivier,12/25/1976,hombre,Engineering," $155,030 ",6/23/2005,,,0
00-5045552,Carlen,Bruhnke,08/06/1990,hombre,Engineering," $119,193 ",7/18/2016,,,1
00-5070457,Nathaniel,Coolahan,12/02/1998,mujer,Accounting," $84,675 ",7/22/2003,,,1
00-5137192,Sarajane,Price,1/28/1970,hombre,Accounting," $180,400 ",5/24/2016,,,0
00-5155617,Hadria,Pallasch,4/13/1987,hombre,Engineering," $98,277 ",12/02/2016,,,0
00-5175297,Bethina,Mathissen,1/24/1966,mujer,Engineering," $154,164 ",12/23/2001,"2012-03-28 19:48:37 UTC",,0
00-5221572,Joshua,Rubinsohn,04/05/1976,hombre,Services," $180,107 ",07/12/2006,,,0
00-5273292,Philippa,Garrod,9/14/1986,mujer,"Product Management"," $110,784 ",3/29/2012,,,0
00-5421994,Sile,Schultheiss,1/23/1986,mujer,Accounting," $103,290 ",12/10/2012,"2021-10-28 00:45:49 UTC",,1
00-5614221,Conroy,Vickars,8/28/1969,hombre,"Business Development"," $153,512 ",01/03/2008,,,0
00-5623981,Roscoe,Swindells,4/28/1979,mujer,Accounting," $174,120 ",12/22/2012,,,0
00-5649238,Antonietta,Obal,11/03/1977,hombre,Engineering," $173,686 ",2/13/2003,"2008-06-24 19:59:00 UTC",,1
00-5687686,Yettie,Swanborough,07/03/1993,hombre,Sales," $98,038 ",3/22/2001,,,0
00-5880378,Dannie,Thornton-Dewhirst,10/18/2000,mujer,Accounting," $151,416 ",12/12/2002,"2019-05-30 07:37:54 UTC",,1
00-5895027,Nessy,Shute,04/05/1982,hombre,Engineering," $100,069 ",4/13/2004,,,1
00-5909899,Louise,Domingues,4/26/1977,hombre,"Research and Development"," $102,872 ",04/05/2014,,,1
00-5917185,Frasquito,Frape,08/02/1972,hombre,Engineering," $125,066 ",6/29/2002,"2012-08-16 08:21:32 UTC",,1
00-5955583,Leonie,Bridgeman,11/17/1997,hombre,Training," $92,378 ",04/11/2009,,,1
00-5958157,Marijn,Shotboulte,07/11/1984,hombre,Accounting," $84,983 ",9/16/2017,,,1
00-5965019,Gertrud,Jeavon,06/11/1987,mujer,"Research and Development"," $141,441 ",3/14/2008,,,1
00-5992394,Gordie,Mariaud,7/24/1990,hombre,Accounting," $121,775 ",5/29/2011,,,0
00-5993032,Corrinne,Very,5/27/1991,hombre,"Research and Development"," $86,661 ",6/21/2005,"2015-03-23 18:00:04 UTC",,0
00-6077710,Frank,Sikorsky,02/10/1998,hombre,Engineering," $77,945 ",08/01/2007,,,0
00-6093562,Linoel,Berrecloth,7/19/1973,hombre,Engineering," $141,146 ",11/06/2006,,,0
00-6114236,Lucias,Sworder,03/01/1997,hombre,Engineering," $167,127 ",10/31/2007,,,0
00-6163624,Malvina,"Mc Grath",09/12/2001,hombre,Engineering," $129,922 ",5/17/2005,"2009-11-03 01:38:32 UTC",,0
00-6172539,Joanne,Jacob,4/13/1974,mujer,Engineering," $106,650 ",02/03/2003,,,1
00-6252646,Yves,Yurivtsev,9/19/1990,hombre,"Human Resources"," $179,943 ",7/13/2019,,,1
00-6338870,Curtice,Kidgell,3/14/1980,mujer,Engineering," $67,616 ",3/18/2018,"2023-03-24 22:54:39 UTC",,1
00-6371948,Ruby,O'Duilleain,05/10/1986,mujer,"Business Development"," $139,305 ",09/07/2008,"2012-01-09 20:55:22 UTC",,1
00-6420231,Joseito,Walaron,5/16/1975,hombre,Services," $182,319 ",11/02/2006,,,1
00-6460144,Helli,Hothersall,1/24/1990,hombre,Engineering," $87,548 ",6/22/2012,,,1
00-6479395,Aura,Steagall,7/19/1978,hombre,Accounting," $164,594 ",3/28/2013,"2030-02-23 03:54:13 UTC",,1
00-6565696,Flory,Ibbitt,03/09/1968,mujer,"Human Resources"," $160,270 ",8/13/2009,"2014-06-03 03:40:16 UTC",,0
00-6609229,Leontine,Rammell,8/15/1986,mujer,"Product Management"," $98,878 ",11/10/2001,,,0
00-6666091,Carly,Everall,12/25/1966,mujer,Support," $141,114 ",01/11/2004,,,1
00-6675478,Reginald,Gosker,10/13/1979,mujer,Engineering," $133,844 ",10/17/2020,,,0
00-6722855,Kimmi,Moff,03/08/1996,hombre,Engineering," $146,729 ",04/04/2001,,,0
00-6768311,Adina,Marcq,1/16/1991,mujer,Engineering," $128,676 ",12/18/2007,,,1
00-6790860,Enrica,Cohalan,1/23/1994,mujer,Engineering," $147,439 ",4/26/2009,,,0
00-6792940,Valera,Hannent,2/14/1993,hombre,Engineering," $182,104 ",5/29/2017,,,0
00-6797967,Albrecht,Geffinger,1/18/1980,mujer,Sales," $171,215 ",11/19/2018,,,0
00-6804149,Orsa,Pafford,12/25/1994,hombre,"Human Resources"," $174,195 ",12/21/2001,,,0
00-6902222,Pall,Snedker,04/07/1969,hombre,Support," $115,852 ",10/04/2009,"2014-01-31 00:17:22 UTC",,1
00-6974128,Eilis,Byford,05/07/1966,hombre,Engineering," $86,523 ",11/04/2014,,,1
00-7012064,Maridel,Canario,11/17/1990,hombre,Engineering," $149,261 ",8/18/2018,,,1
00-7043366,Mellie,Hariot,11/25/1983,mujer,Engineering," $72,130 ",02/06/2013,,,1
00-7080550,Stefan,Orht,03/01/1988,hombre,"Business Development"," $109,170 ",04/04/2018,,,0
00-7080839,Bertie,"La Batie",12/04/1991,hombre,Services," $118,723 ",06/12/2016,,,1
00-7102476,Cammy,Bleakman,08/12/1983,hombre,Accounting," $163,199 ",05/06/2003,,,0
00-7374971,Theodor,Perot,09/11/1989,hombre,Engineering," $141,898 ",6/13/2009,,,1
00-7494159,Lu,Larive,8/13/1999,mujer,"Human Resources"," $135,078 ",5/31/2004,"2010-12-03 06:19:28 UTC",,0
00-7507889,Marietta,Marieton,3/30/1995,hombre,"Human Resources"," $124,199 ",7/31/2008,,,1
00-7598768,Monte,"How to preserve",10/20/1972,mujer,Engineering," $87,788 ",10/16/2016,,,1
00-7685590,Emanuele,Scotts,10/19/1986,hombre,Engineering," $157,506 ",8/26/2019,,,1
00-7693501,Kiley,Ricci,3/15/1972,mujer,Training," $149,623 ",08/03/2003,,,1
00-7726076,Pavel,Corsor,2/14/1976,mujer,Services," $154,864 ",02/02/2017,,,1
00-7766529,Nikaniki,Nurdin,6/28/1995,hombre,Accounting," $68,439 ",6/29/2019,,,1
00-7800396,Siward,Phelipeaux,3/29/1981,hombre,"Business Development"," $115,788 ",02/09/2003,"2016-01-11 09:20:25 UTC",,1
00-7802037,Kaylee,Lambdin,11/01/1965,mujer,Engineering," $174,420 ",03/09/2003,,,1
00-7925080,Chrisy,Risen,7/23/1985,mujer,Engineering," $175,768 ",02/03/2011,"2018-06-05 07:01:43 UTC",,1
00-8010185,Tab,Lissemore,11/25/2000,mujer,"Business Development"," $157,628 ",12/03/2005,"2012-02-21 20:12:05 UTC",,1
00-8113601,Rem,Hassey,5/23/1995,hombre,Accounting," $134,748 ",5/29/2008,,,1
00-8203294,Brianna,Dudin,2/15/1988,mujer,Engineering," $121,704 ",12/18/2017,,,1
00-8230593,Sheppard,Klosges,10/25/1992,hombre,"Product Management"," $174,964 ",8/22/2010,"2017-12-30 08:38:51 UTC",,0
00-8250034,Karlen,Duckworth,11/03/1981,hombre,"Human Resources"," $81,548 ",5/19/2010,"2023-01-17 02:59:42 UTC",,0
00-8270076,Raphaela,Clowney,11/02/1971,hombre,Engineering," $141,259 ",03/06/2010,"2030-08-03 09:10:37 UTC",,1
00-8302867,Idalia,Sherborne,4/21/1968,mujer,Services," $168,491 ",07/07/2016,"2028-03-12 22:16:52 UTC",,0
00-8320940,Terence,MacConnechie,10/26/1965,hombre,Engineering," $177,085 ",08/11/2004,,,1
00-8429312,Shane,Ousbie,12/12/1966,hombre,Training," $168,549 ",07/04/2005,,,0
00-8477498,Cammi,Yakebovitch,11/15/1965,hombre,"Research and Development"," $176,576 ",01/04/2004,,,0
00-8477624,Tomkin,"Di Ruggiero",10/24/1993,hombre,Sales," $109,998 ",2/18/2010,,,1
00-8527252,Leanor,Gemnett,7/31/1974,hombre,Sales," $117,267 ",7/20/2013,,,0
00-8536569,Sterling,Prue,3/28/1966,mujer,"Human Resources"," $152,763 ",3/22/2004,"2005-03-23 03:58:55 UTC",,0
00-8541630,Loydie,Platts,7/20/1970,hombre,"Human Resources"," $103,622 ",06/07/2012,,,1
00-8542295,Darius,Birchenough,09/12/1968,hombre,"Research and Development"," $109,535 ",2/16/2018,,,1
00-8571626,Jenn,Whitecross,8/31/1972,hombre,Training," $81,104 ",01/11/2010,,,0
00-8586665,Glenna,Owbrick,01/01/1993,hombre,Accounting," $150,508 ",07/07/2011,,,1
00-8679134,Lindy,Colliver,4/20/1992,mujer,"Business Development"," $116,568 ",1/28/2003,,,0
00-8679430,Lorianna,Mitten,10/09/1971,mujer,Accounting," $168,875 ",02/10/2001,"2018-11-16 09:54:34 UTC",,0
00-8679766,Modesty,O'Spellissey,6/29/1982,mujer,Services," $129,938 ",10/15/2009,,,1
00-8704487,Lorain,Kibbe,6/19/1983,mujer,Accounting," $112,499 ",7/27/2015,,,1
00-8712138,Gabie,Lawleff,8/30/1968,mujer,Training," $132,408 ",05/10/2004,,,1
00-8719634,Melanie,Rylands,03/12/1972,hombre,Accounting," $123,177 ",11/17/2016,"2031-07-20 12:13:53 UTC",,0
00-8734191,Timothea,Summergill,12/11/1983,mujer,Training," $93,956 ",8/27/2004,,,1
00-8772885,Thorn,Kidston,10/15/1967,hombre,Engineering," $95,230 ",11/22/2017,"2022-03-26 06:01:47 UTC",,0
00-8823459,Irvine,Shillinglaw,11/15/1997,hombre,Engineering," $172,924 ",9/30/2001,,,1
00-8842682,Lissi,Copcote,1/21/1993,mujer,Engineering," $176,373 ",08/05/2016,,,0
00-8912428,Brana,Gwin,5/20/1979,hombre,Accounting," $96,168 ",7/15/2019,,,0
00-8960230,Mohandis,Piecha,10/04/1995,mujer,Engineering," $170,790 ",05/04/2007,,,0
00-9028931,Caressa,"Van Leeuwen",7/14/1976,mujer,Engineering," $138,682 ",12/02/2018,,,0
00-9061522,Garrard,Oakenfull,6/13/1996,hombre,Sales," $141,948 ",10/01/2020,,,1
00-9089278,Chrissy,Zamudio,03/09/1987,hombre,Services," $73,289 ",2/22/2006,,,0
00-9125378,Rosie,Denyakin,12/31/1979,mujer,Engineering," $154,987 ",6/30/2020,,,1
00-9129949,Margery,Darbyshire,06/07/1989,hombre,Training," $103,376 ",4/20/2015,,,0
00-9148951,Sybilla,Oleszkiewicz,10/17/1970,mujer,Accounting," $76,378 ",09/03/2012,,,0
00-9220924,Chrysler,Brekonridge,12/17/1979,hombre,Engineering," $99,239 ",9/29/2004,,,1
00-9244844,Roselin,Warke,03/04/1991,mujer,Services," $105,489 ",3/31/2009,,,1
00-9248315,Lettie,Shute,05/02/1981,mujer,Engineering," $157,248 ",5/18/2012,,,0
00-9256735,Alphonse,Horsewood,03/06/1997,mujer,Engineering," $123,684 ",9/16/2001,,,1
00-9261338,Sharline,Andrzej,1/17/1974,hombre,Accounting," $158,433 ",5/19/2009,,,1
00-9351773,Liesa,Melling,5/16/1997,mujer,Auditing," $166,453 ",10/30/2008,,,0
00-9358294,Dale,Whitland,12/04/2000,hombre,Accounting," $142,805 ",08/03/2005,,,0
00-9378033,Mechelle,Waggatt,03/08/1977,mujer,"Human Resources"," $157,155 ",3/14/2016,,,0
00-9436631,Curr,"De Biasi",1/25/2000,mujer,"Business Development"," $101,604 ",09/06/2008,,,1
00-9445290,Audra,Burdus,7/23/1978,hombre,Services," $101,710 ",1/21/2010,,,1
00-9477913,Merlina,Laing,04/02/1986,mujer,Engineering," $152,098 ",1/27/2009,,,0
00-9519379,Lorianna,Hayley,5/30/1993,hombre,Engineering," $146,324 ",10/01/2012,,,1
00-9624016,Carina,Finan,3/18/1997,mujer,Engineering," $183,905 ",10/07/2015,,,1
00-9627775,Nana,Grimme,2/23/1973,hombre,"Product Management"," $151,834 ",09/02/2018,,,1
00-9700945,Zora,Peller,9/25/1980,hombre,Accounting," $118,772 ",08/02/2012,,,1
00-9731481,Kelbee,Noni,3/18/1992,mujer,Engineering," $102,047 ",06/03/2020,"2036-12-06 16:11:08 UTC",,0
00-9763187,Amandy,Lafferty,7/23/1984,hombre,Marketing," $147,523 ",1/28/2017,,,0
00-9782513,Kerianne,Bault,7/21/1992,mujer,"Business Development"," $144,361 ",07/08/2003,,,1
00-9792606,Kalle,Minchindon,8/21/1983,hombre,Accounting," $77,167 ",6/30/2002,,,0
00-9837994,Adam,Tremoille,6/16/1991,hombre,"Human Resources"," $141,864 ",8/20/2007,,,1
00-9880182,Fan,Lockley,7/27/1998,hombre,Support," $97,907 ",6/24/2012,,,0
00-9896573,Shae,Avramow,9/18/1967,mujer,"Human Resources"," $156,913 ",5/18/2006,,,1
01-0027092,Jock,Aarons,12/23/1988,mujer,Engineering," $173,688 ",08/11/2002,,,1
01-0036386,Dion,Sundin,09/04/1971,mujer,"Human Resources"," $142,629 ",10/08/2005,,,1
01-0038079,Tierney,Oldknow,10/24/1969,mujer,Support," $168,965 ",5/18/2004,,,1
01-0074905,Robinson,"Le Moucheux",06/10/1982,mujer,"Human Resources"," $118,739 ",3/28/2015,"2019-02-01 16:58:06 UTC",,0
01-0116125,Upton,Bowater,05/10/1972,mujer,Accounting," $75,007 ",1/17/2013,,,0
01-0169206,Whitney,Garred,10/10/1985,mujer,"Business Development"," $167,035 ",06/02/2017,,,0
01-0204393,Josephine,Marriot,3/30/2002,mujer,Engineering," $147,302 ",3/19/2011,,,1
01-0280611,Larine,Dreakin,07/08/1983,hombre,Engineering," $155,052 ",1/18/2003,,,0
01-0348994,Wainwright,Osban,5/14/1987,hombre,Sales," $102,713 ",11/14/2001,,,1
01-0364885,Orella,Brim,4/21/2000,hombre,"Human Resources"," $93,546 ",11/25/2019,,,0
01-0373372,Aldus,Sturr,08/11/1976,hombre,Services," $184,237 ",03/08/2020,,,0
01-0381181,Merv,Weiss,09/08/1982,mujer,Accounting," $161,942 ",8/29/2003,"2019-08-08 15:02:56 UTC",,0
01-0417194,Nissy,Reskelly,03/02/1967,hombre,Support," $93,740 ",1/13/2017,"2019-11-19 15:30:43 UTC",,0
01-0502994,Jaynell,Hunnybun,05/02/1971,mujer,"Product Management"," $171,244 ",02/10/2004,,,1
01-0506260,Ives,Phette,11/17/1988,hombre,"Human Resources"," $129,518 ",9/18/2015,,,0
01-0551724,Moina,Gabby,11/22/1993,hombre,Support," $119,318 ",12/03/2016,,,1
01-0586118,Barry,Bryns,1/24/2000,mujer,Engineering," $138,901 ",2/22/2012,,,0
01-0600294,Susanna,Bushell,5/26/1998,hombre,"Product Management"," $69,282 ",8/14/2015,"2016-12-12 03:55:46 UTC",,0
01-0641203,Forrester,Dadge,9/16/1976,mujer,Engineering," $131,492 ",9/20/2013,,,0
01-0645501,Shanon,Fonzone,4/29/2001,hombre,"Human Resources"," $173,104 ",1/24/2005,,,0
01-0663336,Elisabet,Allchorne,09/04/1979,hombre,Sales," $145,410 ",4/13/2002,,,0
01-0692047,Yorgo,Pywell,10/05/1981,hombre,Accounting," $156,459 ",9/13/2002,,,1
01-0708619,Calvin,Tudor,12/19/1985,mujer,Services," $105,777 ",5/24/2013,,,0
01-0770833,Louise,Spottiswoode,2/22/1993,hombre,Sales," $146,168 ",5/14/2019,"2028-02-11 16:18:48 UTC",,1
01-0807331,Gene,Renals,3/29/1968,mujer,Legal," $141,951 ",11/30/2016,"2031-02-23 16:16:06 UTC",,1
01-0892737,Noni,Stuttard,1/26/1985,hombre,Engineering," $93,995 ",12/10/2006,,,0
01-0896141,Richmound,Aust,5/20/1993,hombre,Support," $122,377 ",07/12/2011,"2030-06-01 02:32:46 UTC",,1
01-0957306,Thelma,Nanson,8/31/1972,hombre,Services," $171,064 ",11/18/2012,,,0
01-1097895,Sayer,Balcock,04/08/1992,mujer,Sales," $69,554 ",08/02/2002,,,1
01-1147276,Philis,Bayne,01/02/1986,hombre,"Human Resources"," $84,712 ",9/14/2014,,,1
01-1215079,Maribelle,Shankster,08/02/1996,hombre,"Human Resources"," $138,654 ",10/10/2012,"2025-01-15 18:21:59 UTC",,1
01-1228565,Otho,Lernihan,4/24/1968,hombre,Support," $80,863 ",11/06/2000,,,0
01-1253052,Dena,Kob,12/15/1985,hombre,Accounting," $141,659 ",10/09/2002,,,0
